Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,Unnamed: 0,P.4,K.4,P.5,K.5,PQL
7.0,Pepegi,31,4,4,10,8,14,2,8,7,Lobby 2,Round_2,,,,,,Preseason_Qualifier_3
8.0,PepeGurls,23,10,7,15,2,7,3,13,4,Lobby 2,Round_2,,,,,,Preseason_Qualifier_3
9.0,NotoriousFamily,22,6,3,4,4,6,1,10,1,Lobby 2,Round_2,,,,,,Preseason_Qualifier_3
10.0,FIRE CLAN,22,19,2,14,0,1,7,19,0,Lobby 2,Round_2,,,,,,Preseason_Qualifier_3
11.0,OXR,19,5,5,5,2,11,0,6,0,Lobby 2,Round_2,,,,,,Preseason_Qualifier_3
12.0,Misfits,16,8,4,7,0,5,0,7,0,Lobby 2,Round_2,,,,,,Preseason_Qualifier_3
13.0,31SJ,12,20,0,11,3,18,0,4,3,Lobby 2,Round_2,,,,,,Preseason_Qualifier_3
14.0,60fps,10,9,3,18,0,13,0,15,3,Lobby 2,Round_2,,,,,,Preseason_Qualifier_3
15.0,Syntropy,10,12,0,12,0,10,0,9,4,Lobby 2,Round_2,,,,,,Preseason_Qualifier_3
16.0,HKE,8,18,0,9,3,12,0,11,1,Lobby 2,Round_2,,,,,,Preseason_Qualifier_3
17.0,Ugur Abi,8,17,0,16,0,4,2,12,0,Lobby 2,Round_2,,,,,,Preseason_Qualifier_3
18.0,U2GRAD,5,15,1,20,2,20,1,20,0,Lobby 2,Round_2,,,,,,Preseason_Qualifier_3
19.0,Convergent,4,16,0,19,0,8,2,16,0,Lobby 2,Round_2,,,,,,Preseason_Qualifier_3
20.0,Wild Boars,4,11,1,13,0,16,0,14,0,Lobby 2,Round_2,,,,,,Preseason_Qualifier_3
1.0,NXB,81,3,9,2,12,3,14,1,11,Lobby 3,Round_2,,,,,,Preseason_Qualifier_3
2.0,AAS,73,2,11,1,16,1,9,17,4,Lobby 3,Round_2,,,,,,Preseason_Qualifier_3
3.0,GVG,41,1,11,15,2,14,4,5,6,Lobby 3,Round_2,,,,,,Preseason_Qualifier_3
4.0,TD,35,7,4,6,8,6,12,14,1,Lobby 3,Round_2,,,,,,Preseason_Qualifier_3
5.0,PS_Esport,28,4,9,10,0,8,5,6,2,Lobby 3,Round_2,,,,,,Preseason_Qualifier_3
6.0,NIBL,27,11,0,11,3,5,4,2,5,Lobby 3,Round_2,,,,,,Preseason_Qualifier_3
7.0,plei,25,5,2,3,5,9,0,7,2,Lobby 3,Round_2,,,,,,Preseason_Qualifier_3
8.0,Arise eSport 2,24,9,1,4,4,2,3,19,0,Lobby 3,Round_2,,,,,,Preseason_Qualifier_3
9.0,MOB INT,22,18,0,9,0,11,0,3,12,Lobby 3,Round_2,,,,,,Preseason_Qualifier_3
10.0,FriendsofBoomers,18,8,7,16,0,17,0,4,4,Lobby 3,Round_2,,,,,,Preseason_Qualifier_3
11.0,signelunaire,16,6,1,8,2,7,0,12,4,Lobby 3,Round_2,,,,,,Preseason_Qualifier_3
12.0,Carpaccio,13,13,3,5,2,15,0,10,0,Lobby 3,Round_2,,,,,,Preseason_Qualifier_3
13.0,BZK,13,20,0,12,1,4,0,9,4,Lobby 3,Round_2,,,,,,Preseason_Qualifier_3
14.0,ATK,10,14,0,7,2,20,2,13,1,Lobby 3,Round_2,,,,,,Preseason_Qualifier_3
15.0,Last Light,6,15,0,19,1,19,0,15,3,Lobby 3,Round_2,,,,,,Preseason_Qualifier_3
16.0,FRLS,5,17,1,20,0,16,1,8,1,Lobby 3,Round_2,,,,,,Preseason_Qualifier_3
17.0,Nooobix,5,10,1,18,0,13,1,18,0,Lobby 3,Round_2,,,,,,Preseason_Qualifier_3
18.0,AintInvlbleDream,5,19,0,14,0,10,1,11,0,Lobby 3,Round_2,,,,,,Preseason_Qualifier_3
19.0,DIVE,2,12,0,13,0,18,0,20,0,Lobby 3,Round_2,,,,,,Preseason_Qualifier_3
20.0,OogieBoogiePushy,1,16,0,17,0,12,0,16,0,Lobby 3,Round_2,,,,,,Preseason_Qualifier_3
1.0,MP,44,6,11,10,1,7,1,3,16,Lobby 4,Round_2,,,,,,Preseason_Qualifier_3
2.0,Ween Gang,40,2,13,17,4,6,8,19,3,Lobby 4,Round_2,,,,,,Preseason_Qualifier_3
3.0,CHI,39,1,9,11,2,13,2,2,3,Lobby 4,Round_2,,,,,,Preseason_Qualifier_3
4.0,USG,39,10,1,1,6,2,9,17,0,Lobby 4,Round_2,,,,,,Preseason_Qualifier_3
5.0,SMS,36,3,5,4,9,9,1,10,5,Lobby 4,Round_2,,,,,,Preseason_Qualifier_3
6.0,RAT,34,9,1,8,4,1,9,11,3,Lobby 4,Round_2,,,,,,Preseason_Qualifier_3
7.0,0219,34,18,0,13,5,4,5,1,6,Lobby 4,Round_2,,,,,,Preseason_Qualifier_3
8.0,OG,33,7,5,3,6,12,1,5,6,Lobby 4,Round_2,,,,,,Preseason_Qualifier_3
9.0,Young Squad,25,4,6,9,1,8,1,7,5,Lobby 4,Round_2,,,,,,Preseason_Qualifier_3
10.0,WICKED,24,8,1,7,1,3,7,9,1,Lobby 4,Round_2,,,,,,Preseason_Qualifier_3
11.0,PKS,17,16,0,2,7,20,0,14,0,Lobby 4,Round_2,,,,,,Preseason_Qualifier_3
12.0,Vanaheim Gaming,16,12,1,15,1,10,6,12,3,Lobby 4,Round_2,,,,,,Preseason_Qualifier_3
13.0,Looking4Wingman,12,13,2,19,1,11,2,13,4,Lobby 4,Round_2,,,,,,Preseason_Qualifier_3
14.0,CarryRubick fans,12,15,1,5,0,5,1,15,0,Lobby 4,Round_2,,,,,,Preseason_Qualifier_3
15.0,itsheazyKuwaSevn,11,11,0,12,1,14,3,6,1,Lobby 4,Round_2,,,,,,Preseason_Qualifier_3
16.0,Monkey Milkers,11,5,0,14,0,15,0,4,0,Lobby 4,Round_2,,,,,,Preseason_Qualifier_3
17.0,Phoenix,8,17,3,16,3,17,0,8,0,Lobby 4,Round_2,,,,,,Preseason_Qualifier_3
18.0,NoWayFzB,8,14,0,6,4,16,0,16,0,Lobby 4,Round_2,,,,,,Preseason_Qualifier_3
19.0,Minor Keepers,2,19,0,20,0,19,0,20,2,Lobby 4,Round_2,,,,,,Preseason_Qualifier_3
20.0,DASK,1,20,1,18,0,18,0,18,0,Lobby 4,Round_2,,,,,,Preseason_Qualifier_3
1.0,ORCL,59,2,6,3,6,1,12,6,4,Lobby 5,Round_2,,,,,,Preseason_Qualifier_3
2.0,NMS,56,1,16,2,6,16,0,2,4,Lobby 5,Round_2,,,,,,Preseason_Qualifier_3
3.0,DI,55,19,0,1,8,11,4,1,18,Lobby 5,Round_2,,,,,,Preseason_Qualifier_3
4.0,SPPI,30,4,9,5,6,7,0,17,3,Lobby 5,Round_2,,,,,,Preseason_Qualifier_3
5.0,SPIRAL,28,3,5,15,7,19,0,13,7,Lobby 5,Round_2,,,,,,Preseason_Qualifier_3
6.0,SCBS,25,8,2,9,0,2,7,11,2,Lobby 5,Round_2,,,,,,Preseason_Qualifier_3
7.0,DynamiX,24,5,3,13,1,4,8,14,1,Lobby 5,Round_2,,,,,,Preseason_Qualifier_3
8.0,ExplosionFusion,22,17,1,14,5,3,4,10,2,Lobby 5,Round_2,,,,,,Preseason_Qualifier_3
9.0,BWG,18,18,0,17,0,6,8,5,3,Lobby 5,Round_2,,,,,,Preseason_Qualifier_3
10.0,BFG,18,12,1,6,2,14,3,3,0,Lobby 5,Round_2,,,,,,Preseason_Qualifier_3
11.0,SlayerOfSundays,18,13,0,4,3,9,2,4,0,Lobby 5,Round_2,,,,,,Preseason_Qualifier_3
12.0,Chupiki,15,11,1,18,0,17,3,7,7,Lobby 5,Round_2,,,,,,Preseason_Qualifier_3
13.0,3FR,13,15,1,7,6,18,0,12,1,Lobby 5,Round_2,,,,,,Preseason_Qualifier_3
14.0,White Clover,11,16,5,10,0,8,1,16,1,Lobby 5,Round_2,,,,,,Preseason_Qualifier_3
15.0,Kissyourhomies,10,7,2,16,0,10,3,19,0,Lobby 5,Round_2,,,,,,Preseason_Qualifier_3
16.0,Justthreeplayers,10,9,0,8,1,13,2,9,0,Lobby 5,Round_2,,,,,,Preseason_Qualifier_3
17.0,LPm,9,6,2,11,0,15,0,8,0,Lobby 5,Round_2,,,,,,Preseason_Qualifier_3
18.0,1515,8,10,0,12,1,5,0,18,0,Lobby 5,Round_2,,,,,,Preseason_Qualifier_3
19.0,Falcons,5,14,1,19,0,12,0,15,1,Lobby 5,Round_2,,,,,,Preseason_Qualifier_3
20.0,Baguette,0,20,0,20,0,20,0,20,0,Lobby 5,Round_2,,,,,,Preseason_Qualifier_3
1.0,TREX,88,7,10,1,19,10,11,1,19,Lobby 6,Round_2,,,,,,Preseason_Qualifier_3
2.0,NoFear,47,1,11,10,2,19,0,3,13,Lobby 6,Round_2,,,,,,Preseason_Qualifier_3
3.0,Ignite,40,3,5,15,0,1,15,19,0,Lobby 6,Round_2,,,,,,Preseason_Qualifier_3
4.0,Back to Lobby,31,2,9,6,8,14,1,18,0,Lobby 6,Round_2,,,,,,Preseason_Qualifier_3
5.0,TOG,31,11,0,7,5,2,5,4,3,Lobby 6,Round_2,,,,,,Preseason_Qualifier_3
6.0,BGR,29,5,6,2,4,7,2,11,0,Lobby 6,Round_2,,,,,,Preseason_Qualifier_3
7.0,UTFT,25,4,3,3,6,13,3,16,0,Lobby 6,Round_2,,,,,,Preseason_Qualifier_3
8.0,SCTA,23,16,0,5,1,9,2,2,5,Lobby 6,Round_2,,,,,,Preseason_Qualifier_3
9.0,ALKaIIIbI,20,13,1,4,7,6,2,12,0,Lobby 6,Round_2,,,,,,Preseason_Qualifier_3
10.0,EFG Team,19,9,0,20,0,5,4,5,5,Lobby 6,Round_2,,,,,,Preseason_Qualifier_3
11.0,Royal Mooses,15,8,4,14,0,4,0,9,1,Lobby 6,Round_2,,,,,,Preseason_Qualifier_3
12.0,Lagom,12,14,1,8,1,12,4,10,0,Lobby 6,Round_2,,,,,,Preseason_Qualifier_3
13.0,SeXy Chonks,12,10,3,18,0,8,1,8,2,Lobby 6,Round_2,,,,,,Preseason_Qualifier_3
14.0,STUGOTS,12,18,0,13,0,3,3,15,0,Lobby 6,Round_2,,,,,,Preseason_Qualifier_3
15.0,plugged off life,10,12,3,12,0,15,0,13,3,Lobby 6,Round_2,,,,,,Preseason_Qualifier_3
16.0,onetap,10,6,3,9,1,17,0,14,0,Lobby 6,Round_2,,,,,,Preseason_Qualifier_3
17.0,Boydem,9,19,1,11,1,20,0,7,3,Lobby 6,Round_2,,,,,,Preseason_Qualifier_3
18.0,LaFay,7,20,0,16,2,16,0,6,2,Lobby 6,Round_2,,,,,,Preseason_Qualifier_3
19.0,Wisps,6,15,0,19,1,11,2,17,1,Lobby 6,Round_2,,,,,,Preseason_Qualifier_3
20.0,Moanerz EU,4,17,1,17,0,18,3,20,0,Lobby 6,Round_2,,,,,,Preseason_Qualifier_3
1.0,BCG,94,1,11,1,14,1,9,2,15,Lobby 7,Round_2,,,,,,Preseason_Qualifier_3
2.0,AP,45,3,4,2,6,11,0,1,6,Lobby 7,Round_2,,,,,,Preseason_Qualifier_3
3.0,RD,29,17,6,12,3,3,9,17,3,Lobby 7,Round_2,,,,,,Preseason_Qualifier_3
4.0,Weebs Out,27,5,8,3,2,20,0,7,3,Lobby 7,Round_2,,,,,,Preseason_Qualifier_3
5.0,CRAZYx3,27,2,3,7,1,4,4,15,1,Lobby 7,Round_2,,,,,,Preseason_Qualifier_3
6.0,DM,26,9,0,10,4,10,3,5,9,Lobby 7,Round_2,,,,,,Preseason_Qualifier_3
7.0,HNY,25,11,4,14,2,6,10,16,4,Lobby 7,Round_2,,,,,,Preseason_Qualifier_3
8.0,PRSTS,24,20,0,11,6,2,3,12,4,Lobby 7,Round_2,,,,,,Preseason_Qualifier_3
9.0,Dababy,23,6,13,8,3,16,1,14,0,Lobby 7,Round_2,,,,,,Preseason_Qualifier_3
10.0,Duck Goes Quack,20,4,0,4,3,8,0,9,3,Lobby 7,Round_2,,,,,,Preseason_Qualifier_3
11.0,Carnage,18,7,2,5,1,5,2,8,0,Lobby 7,Round_2,,,,,,Preseason_Qualifier_3
12.0,2ege1college,16,16,1,6,2,12,5,11,3,Lobby 7,Round_2,,,,,,Preseason_Qualifier_3
13.0,Reakless,16,10,1,18,0,15,2,3,3,Lobby 7,Round_2,,,,,,Preseason_Qualifier_3
14.0,Nobody,15,15,0,9,3,9,3,6,1,Lobby 7,Round_2,,,,,,Preseason_Qualifier_3
15.0,DSI,13,8,1,20,0,17,1,4,4,Lobby 7,Round_2,,,,,,Preseason_Qualifier_3
16.0,JIGSAW,8,12,1,17,3,7,0,18,0,Lobby 7,Round_2,,,,,,Preseason_Qualifier_3
17.0,FP,5,13,1,16,0,14,0,10,0,Lobby 7,Round_2,,,,,,Preseason_Qualifier_3
18.0,HLDC,4,19,0,15,3,19,0,20,0,Lobby 7,Round_2,,,,,,Preseason_Qualifier_3
19.0,HEROES ESPORT,4,14,1,13,0,13,0,19,0,Lobby 7,Round_2,,,,,,Preseason_Qualifier_3
20.0,SVR,3,18,0,19,0,18,2,13,0,Lobby 7,Round_2,,,,,,Preseason_Qualifier_3
1.0,FV,70,1,23,11,0,1,20,13,1,Lobby 8,Round_2,,,,,,Preseason_Qualifier_3
2.0,TRIHARD,50,2,4,1,8,4,7,14,4,Lobby 8,Round_2,,,,,,Preseason_Qualifier_3
3.0,Aspirateur,37,5,0,5,11,7,9,6,3,Lobby 8,Round_2,,,,,,Preseason_Qualifier_3
4.0,Fluffy Bunnies,33,17,2,9,2,2,5,2,4,Lobby 8,Round_2,,,,,,Preseason_Qualifier_3
5.0,Amaterasu,32,4,0,10,0,18,0,1,13,Lobby 8,Round_2,,,,,,Preseason_Qualifier_3
6.0,Uchinix,29,15,1,8,4,3,4,5,6,Lobby 8,Round_2,,,,,,Preseason_Qualifier_3
7.0,Hope Die Last,21,6,3,4,9,11,0,19,0,Lobby 8,Round_2,,,,,,Preseason_Qualifier_3
8.0,TRIPLEU,21,3,8,15,0,6,1,15,0,Lobby 8,Round_2,,,,,,Preseason_Qualifier_3
9.0,6bnt,19,9,4,18,1,5,4,11,3,Lobby 8,Round_2,,,,,,Preseason_Qualifier_3
10.0,iEnvy,18,16,0,12,2,12,0,3,7,Lobby 8,Round_2,,,,,,Preseason_Qualifier_3
11.0,Arigato 4 pts,17,12,2,14,3,8,3,12,4,Lobby 8,Round_2,,,,,,Preseason_Qualifier_3
12.0,Skill Gap,15,11,0,2,3,16,0,16,2,Lobby 8,Round_2,,,,,,Preseason_Qualifier_3
13.0,Squirtle Squad,15,13,1,3,4,17,0,9,0,Lobby 8,Round_2,,,,,,Preseason_Qualifier_3
14.0,Sheriffs,11,8,3,19,0,19,0,7,3,Lobby 8,Round_2,,,,,,Preseason_Qualifier_3
15.0,Simply_E_Sports,11,10,0,17,0,10,0,4,2,Lobby 8,Round_2,,,,,,Preseason_Qualifier_3
16.0,21cm,10,19,1,13,3,13,1,18,3,Lobby 8,Round_2,,,,,,Preseason_Qualifier_3
17.0,MYSTERY TEAM,10,18,0,7,4,14,0,8,0,Lobby 8,Round_2,,,,,,Preseason_Qualifier_3
18.0,Mat For Victory,8,14,0,6,1,15,0,10,0,Lobby 8,Round_2,,,,,,Preseason_Qualifier_3
19.0,3 Uomini 1 Gamba,6,7,0,16,0,9,0,17,1,Lobby 8,Round_2,,,,,,Preseason_Qualifier_3
20.0,EniGma,0,20,0,20,0,20,0,20,0,Lobby 8,Round_2,,,,,,Preseason_Qualifier_3
1.0,GOD,70,19,3,3,13,1,11,1,12,Lobby 1,Quarterfinals,,,,,,Preseason_Qualifier_3
2.0,ETH,57,1,14,2,10,3,3,18,2,Lobby 1,Quarterfinals,,,,,,Preseason_Qualifier_3
3.0,CLN,51,7,3,1,13,4,7,4,3,Lobby 1,Quarterfinals,,,,,,Preseason_Qualifier_3
4.0,FC,47,9,2,12,1,2,11,2,12,Lobby 1,Quarterfinals,,,,,,Preseason_Qualifier_3
5.0,SLAP,35,2,12,11,3,12,2,6,4,Lobby 1,Quarterfinals,,,,,,Preseason_Qualifier_3
6.0,PXL,26,3,1,4,1,6,6,12,2,Lobby 1,Quarterfinals,,,,,,Preseason_Qualifier_3
7.0,Pepegi,21,4,8,16,4,11,2,16,1,Lobby 1,Quarterfinals,,,,,,Preseason_Qualifier_3
8.0,FIRE CLAN,17,16,1,5,0,5,5,7,0,Lobby 1,Quarterfinals,,,,,,Preseason_Qualifier_3
9.0,LGN,14,18,0,17,2,20,1,5,7,Lobby 1,Quarterfinals,,,,,,Preseason_Qualifier_3
10.0,Undertaker,14,12,1,8,0,14,4,9,3,Lobby 1,Quarterfinals,,,,,,Preseason_Qualifier_3
11.0,uwuowoboys,14,6,6,18,0,8,1,15,1,Lobby 1,Quarterfinals,,,,,,Preseason_Qualifier_3
12.0,Explosion,13,15,0,14,4,19,3,10,2,Lobby 1,Quarterfinals,,,,,,Preseason_Qualifier_3
13.0,Abysse,13,8,0,19,0,17,0,3,4,Lobby 1,Quarterfinals,,,,,,Preseason_Qualifier_3
14.0,PepeGurls,11,5,3,16,4,18,0,19,0,Lobby 1,Quarterfinals,,,,,,Preseason_Qualifier_3
15.0,3 Jabronies,11,17,0,7,2,15,1,8,2,Lobby 1,Quarterfinals,,,,,,Preseason_Qualifier_3
16.0,NotoriousFamily,8,10,0,15,1,9,1,14,0,Lobby 1,Quarterfinals,,,,,,Preseason_Qualifier_3
17.0,Chiefs,8,13,0,10,0,10,1,13,1,Lobby 1,Quarterfinals,,,,,,Preseason_Qualifier_3
18.0,Oui,6,20,1,6,2,16,0,17,0,Lobby 1,Quarterfinals,,,,,,Preseason_Qualifier_3
19.0,MantaX,6,11,1,13,0,7,0,20,0,Lobby 1,Quarterfinals,,,,,,Preseason_Qualifier_3
20.0,XDA,6,14,0,9,1,13,0,11,0,Lobby 1,Quarterfinals,,,,,,Preseason_Qualifier_3
1.0,AAS,68,7,3,1,22,1,16,18,0,Lobby 2,Quarterfinals,,,,,,Preseason_Qualifier_3
2.0,TD,51,1,8,4,3,14,2,3,13,Lobby 2,Quarterfinals,,,,,,Preseason_Qualifier_3
3.0,RAT,49,2,11,6,3,3,8,14,7,Lobby 2,Quarterfinals,,,,,,Preseason_Qualifier_3
4.0,OG,40,5,8,12,3,11,2,1,9,Lobby 2,Quarterfinals,,,,,,Preseason_Qualifier_3
5.0,NXB,36,10,6,2,3,2,4,11,2,Lobby 2,Quarterfinals,,,,,,Preseason_Qualifier_3
6.0,MP,28,18,0,18,1,5,2,2,12,Lobby 2,Quarterfinals,,,,,,Preseason_Qualifier_3
7.0,plei,25,19,0,7,3,4,8,5,2,Lobby 2,Quarterfinals,,,,,,Preseason_Qualifier_3
8.0,Ween Gang,24,13,0,5,6,8,3,4,3,Lobby 2,Quarterfinals,,,,,,Preseason_Qualifier_3
9.0,CHI,22,4,3,11,2,7,4,8,2,Lobby 2,Quarterfinals,,,,,,Preseason_Qualifier_3
10.0,Young Squad,15,3,2,8,2,12,0,12,0,Lobby 2,Quarterfinals,,,,,,Preseason_Qualifier_3
11.0,USG,14,11,3,10,2,9,3,13,0,Lobby 2,Quarterfinals,,,,,,Preseason_Qualifier_3
12.0,MOB INT,13,17,0,3,3,13,0,9,0,Lobby 2,Quarterfinals,,,,,,Preseason_Qualifier_3
13.0,Arise eSport 2,12,6,2,19,0,6,0,7,1,Lobby 2,Quarterfinals,,,,,,Preseason_Qualifier_3
14.0,NIBL,10,15,0,9,3,19,0,10,2,Lobby 2,Quarterfinals,,,,,,Preseason_Qualifier_3
15.0,SMS,9,9,0,15,1,10,1,15,1,Lobby 2,Quarterfinals,,,,,,Preseason_Qualifier_3
16.0,WICKED,8,20,0,13,0,16,3,6,1,Lobby 2,Quarterfinals,,,,,,Preseason_Qualifier_3
17.0,0219,6,14,2,17,0,17,0,16,3,Lobby 2,Quarterfinals,,,,,,Preseason_Qualifier_3
18.0,GVG,4,12,3,20,0,20,0,19,0,Lobby 2,Quarterfinals,,,,,,Preseason_Qualifier_3
19.0,FriendsofBoomers,3,8,0,16,0,15,0,20,0,Lobby 2,Quarterfinals,,,,,,Preseason_Qualifier_3
20.0,PS_Esport,2,16,0,14,0,18,0,17,1,Lobby 2,Quarterfinals,,,,,,Preseason_Qualifier_3
1.0,NMS,63,1,16,1,8,17,3,10,10,Lobby 3,Quarterfinals,,,,,,Preseason_Qualifier_3
2.0,NoFear,44,7,7,10,5,1,7,5,4,Lobby 3,Quarterfinals,,,,,,Preseason_Qualifier_3
3.0,ORCL,39,2,0,17,0,3,12,2,2,Lobby 3,Quarterfinals,,,,,,Preseason_Qualifier_3
4.0,DI,33,11,1,2,9,5,6,13,2,Lobby 3,Quarterfinals,,,,,,Preseason_Qualifier_3
5.0,TOG,29,8,4,9,4,2,5,8,1,Lobby 3,Quarterfinals,,,,,,Preseason_Qualifier_3
6.0,SPPI,29,12,5,18,1,7,0,1,7,Lobby 3,Quarterfinals,,,,,,Preseason_Qualifier_3
7.0,ExplosionFusion,28,3,3,8,3,13,0,3,5,Lobby 3,Quarterfinals,,,,,,Preseason_Qualifier_3
8.0,Back to Lobby,24,4,8,4,6,18,0,18,0,Lobby 3,Quarterfinals,,,,,,Preseason_Qualifier_3
9.0,UTFT,24,19,0,14,0,4,6,4,7,Lobby 3,Quarterfinals,,,,,,Preseason_Qualifier_3
10.0,SCBS,24,6,4,3,2,10,3,12,2,Lobby 3,Quarterfinals,,,,,,Preseason_Qualifier_3
11.0,SPIRAL,18,14,0,7,3,12,5,7,2,Lobby 3,Quarterfinals,,,,,,Preseason_Qualifier_3
12.0,TREX,16,18,0,12,7,11,5,9,0,Lobby 3,Quarterfinals,,,,,,Preseason_Qualifier_3
13.0,DynamiX,13,17,0,6,1,15,0,6,5,Lobby 3,Quarterfinals,,,,,,Preseason_Qualifier_3
14.0,EFG Team,13,5,4,11,0,8,2,20,0,Lobby 3,Quarterfinals,,,,,,Preseason_Qualifier_3
15.0,SlayerOfSundays,11,20,0,5,7,19,0,19,0,Lobby 3,Quarterfinals,,,,,,Preseason_Qualifier_3
16.0,Ignite,11,9,1,20,1,6,3,15,0,Lobby 3,Quarterfinals,,,,,,Preseason_Qualifier_3
17.0,ALKaIIIbI,10,15,0,16,0,14,1,14,6,Lobby 3,Quarterfinals,,,,,,Preseason_Qualifier_3
18.0,BGR,7,10,0,13,3,16,1,17,0,Lobby 3,Quarterfinals,,,,,,Preseason_Qualifier_3
19.0,SCTA,6,13,0,19,0,9,0,16,3,Lobby 3,Quarterfinals,,,,,,Preseason_Qualifier_3
20.0,BWG,5,16,2,15,1,20,0,11,0,Lobby 3,Quarterfinals,,,,,,Preseason_Qualifier_3
1.0,RD,65,7,10,3,11,1,12,15,9,Lobby 4,Quarterfinals,,,,,,Preseason_Qualifier_3
2.0,BCG,53,2,10,1,12,3,2,12,0,Lobby 4,Quarterfinals,,,,,,Preseason_Qualifier_3
3.0,Dababy,42,3,9,2,5,2,3,18,0,Lobby 4,Quarterfinals,,,,,,Preseason_Qualifier_3
4.0,CRAZYx3,40,1,7,8,0,11,3,5,11,Lobby 4,Quarterfinals,,,,,,Preseason_Qualifier_3
5.0,Weebs Out,32,13,3,15,4,7,12,4,3,Lobby 4,Quarterfinals,,,,,,Preseason_Qualifier_3
6.0,DM,32,12,1,7,3,18,2,1,10,Lobby 4,Quarterfinals,,,,,,Preseason_Qualifier_3
7.0,FV,30,11,1,5,8,6,6,13,6,Lobby 4,Quarterfinals,,,,,,Preseason_Qualifier_3
8.0,Aspirateur,25,5,1,9,5,17,1,2,3,Lobby 4,Quarterfinals,,,,,,Preseason_Qualifier_3
9.0,iEnvy,20,4,6,6,1,10,0,9,1,Lobby 4,Quarterfinals,,,,,,Preseason_Qualifier_3
10.0,PRSTS,18,6,8,4,0,16,0,10,0,Lobby 4,Quarterfinals,,,,,,Preseason_Qualifier_3
11.0,Hope Die Last,16,8,0,14,2,8,6,16,3,Lobby 4,Quarterfinals,,,,,,Preseason_Qualifier_3
12.0,HNY,15,9,0,13,0,4,4,8,1,Lobby 4,Quarterfinals,,,,,,Preseason_Qualifier_3
13.0,Uchinix,14,20,0,20,0,5,3,7,4,Lobby 4,Quarterfinals,,,,,,Preseason_Qualifier_3
14.0,Duck Goes Quack,13,10,0,10,2,13,2,14,3,Lobby 4,Quarterfinals,,,,,,Preseason_Qualifier_3
15.0,AP,10,17,0,11,0,14,0,3,1,Lobby 4,Quarterfinals,,,,,,Preseason_Qualifier_3
16.0,6bnt,9,16,1,12,0,12,1,6,2,Lobby 4,Quarterfinals,,,,,,Preseason_Qualifier_3
17.0,Amaterasu,4,15,0,17,1,9,0,17,0,Lobby 4,Quarterfinals,,,,,,Preseason_Qualifier_3
18.0,Fluffy Bunnies,2,14,0,16,0,20,0,11,0,Lobby 4,Quarterfinals,,,,,,Preseason_Qualifier_3
19.0,TRIPLEU,1,19,0,19,0,19,1,19,0,Lobby 4,Quarterfinals,,,,,,Preseason_Qualifier_3
20.0,TRIHARD,1,18,0,18,0,15,0,20,0,Lobby 4,Quarterfinals,,,,,,Preseason_Qualifier_3
1.0,ETH,69,1,7,10,2,6,7,11,1,Lobby 1,Semifinals,,1.0,11.0,2.0,2.0,Preseason_Qualifier_3
2.0,PXL,57,13,1,2,3,1,9,4,2,Lobby 1,Semifinals,,6.0,2.0,5.0,6.0,Preseason_Qualifier_3
3.0,CHI,54,3,11,3,10,9,1,17,0,Lobby 1,Semifinals,,2.0,4.0,10.0,1.0,Preseason_Qualifier_3
4.0,plei,48,10,3,4,5,11,4,1,3,Lobby 1,Semifinals,,17.0,0.0,3.0,6.0,Preseason_Qualifier_3
5.0,CLN,46,4,2,16,1,12,2,5,7,Lobby 1,Semifinals,,10.0,1.0,1.0,9.0,Preseason_Qualifier_3
6.0,AAS,42,9,12,8,8,2,5,18,0,Lobby 1,Semifinals,,13.0,0.0,8.0,1.0,Preseason_Qualifier_3
7.0,OG,40,19,0,6,2,3,2,2,12,Lobby 1,Semifinals,,15.0,0.0,14.0,3.0,Preseason_Qualifier_3
8.0,MP,39,5,5,5,4,4,5,19,0,Lobby 1,Semifinals,,5.0,5.0,13.0,2.0,Preseason_Qualifier_3
9.0,FC,38,12,0,1,11,8,3,16,3,Lobby 1,Semifinals,,12.0,1.0,9.0,2.0,Preseason_Qualifier_3
10.0,TD,35,11,3,11,8,17,0,9,5,Lobby 1,Semifinals,,4.0,4.0,12.0,5.0,Preseason_Qualifier_3
11.0,RAT,33,6,2,13,0,5,0,3,6,Lobby 1,Semifinals,,14.0,2.0,6.0,4.0,Preseason_Qualifier_3
12.0,Pepegi,30,18,0,19,0,10,9,8,3,Lobby 1,Semifinals,,7.0,11.0,18.0,0.0,Preseason_Qualifier_3
13.0,GOD,30,2,8,9,2,18,0,20,0,Lobby 1,Semifinals,,9.0,0.0,4.0,2.0,Preseason_Qualifier_3
14.0,uwuowoboys,28,8,1,14,2,7,2,7,4,Lobby 1,Semifinals,,11.0,3.0,7.0,3.0,Preseason_Qualifier_3
15.0,Young Squad,23,14,0,12,0,20,0,10,0,Lobby 1,Semifinals,,3.0,8.0,16.0,4.0,Preseason_Qualifier_3
16.0,SLAP,15,7,4,15,1,16,4,12,1,Lobby 1,Semifinals,,16.0,0.0,17.0,0.0,Preseason_Qualifier_3
17.0,Ween Gang,15,17,0,7,0,13,2,6,5,Lobby 1,Semifinals,,19.0,0.0,15.0,0.0,Preseason_Qualifier_3
18.0,LGN,11,15,0,18,0,14,2,13,0,Lobby 1,Semifinals,,8.0,2.0,11.0,1.0,Preseason_Qualifier_3
